m,obs,exp,normWidth
648.0,0.034711322876751334,0.023256721893072117,0.056
655.0,0.03395470747830549,0.022470540722743296,0.056
661.0,0.03400361623647879,0.021800802603419784,0.056
668.0,0.03316078708127365,0.021180798853593637,0.056
674.0,0.031918763833523385,0.020692284997392243,0.056
681.0,0.030149513823639243,0.020130793715572595,0.056
687.0,0.028296621827081876,0.019670965034050455,0.056
694.0,0.026353726974253467,0.01913449823894129,0.056
701.0,0.02483115228093842,0.018689211755581227,0.056
708.0,0.023525959900471717,0.018271659541400868,0.056
715.0,0.022258058550988016,0.017873604032670336,0.056
722.0,0.020849478408013808,0.017556533512581875,0.056
729.0,0.019018084897503344,0.017239462992493418,0.056
736.0,0.017353300430909303,0.016919225416062833,0.056
743.0,0.016161617235326862,0.01658945632218762,0.056
751.0,0.015100227130353092,0.016212577357758804,0.056
758.0,0.015212127714304068,0.015882808263883594,0.056
766.0,0.01589119139119588,0.015505929299454779,0.056
773.0,0.01675557618011427,0.015176160205579567,0.056
781.0,0.01841059008582031,0.014823330570470913,0.056
788.0,0.0195866745495175,0.01451931886395625,0.056
796.0,0.02063103790856842,0.014204438266598542,0.056
804.0,0.021352864598702608,0.013919183646204432,0.056
812.0,0.021747440914484186,0.013633929025810322,0.056
820.0,0.021890034794669645,0.013385043419955708,0.056
828.0,0.021625566863951073,0.013141369386845963,0.056
836.0,0.02114692314469548,0.012898203117965468,0.056
844.0,0.020085912033967507,0.012662234969498483,0.056
853.0,0.018524635738330825,0.012396770802473124,0.056
861.0,0.016775829574185976,0.012168822394365057,0.056
869.0,0.01507296401149399,0.011953111800644366,0.056
878.0,0.01347497770152831,0.01171043738270859,0.056
887.0,0.012948146645469593,0.011479229331302345,0.056
895.0,0.012891664976844519,0.0112782934395674,0.056
904.0,0.012867549628176983,0.011052240561365584,0.056
913.0,0.012874788541172516,0.010857064628857414,0.056
922.0,0.012700591741697768,0.010663191096890222,0.056
931.0,0.012435860140299805,0.010477138993022819,0.056
940.0,0.012048649981785864,0.010326175268739734,0.056
949.0,0.011618730492448498,0.010175211544456646,0.056
959.0,0.011089424493380766,0.010002286606002315,0.056
968.0,0.010606399740370224,0.00983645608260445,0.056
978.0,0.010064924042948065,0.009652199945495711,0.056
987.0,0.009344518043152316,0.009495851837552586,0.056
997.0,0.009043398006673262,0.009329030064739193,0.056
1007.0,0.008769645438082441,0.009162208291925801,0.056
1017.0,0.008665664323456015,0.008995386519112407,0.056
1027.0,0.008657469267436164,0.008828564746299014,0.056
1037.0,0.00874797131721748,0.008674399998990652,0.056
1047.0,0.008779750259990372,0.008529612537962594,0.056
1057.0,0.008739927788218442,0.008384825076934534,0.056
1068.0,0.008500825646610331,0.00822679342738828,0.056
1078.0,0.008162174221694034,0.00809208164481697,0.056
1089.0,0.007669511987882663,0.007943898683988527,0.056
1100.0,0.0067391877966549016,0.007795715723160084,0.056
1110.0,0.006040540959484541,0.007661003940588771,0.056
1121.0,0.005348775643772698,0.0075237137866950195,0.056
1132.0,0.004751707298218428,0.007398593889643116,0.056
1143.0,0.004275331864502786,0.007273473992591213,0.056
1155.0,0.003841135494317251,0.007136979559443682,0.056
1166.0,0.003558738623848734,0.007022562188179282,0.056
1177.0,0.003383994676093744,0.006909056778009827,0.056
1189.0,0.0032469897348781328,0.006786941347525757,0.056
1201.0,0.003280448233854667,0.006680347860453525,0.056
1213.0,0.0033231014221312173,0.006573754373381292,0.056
1224.0,0.003413811573630852,0.006481116338003239,0.056
1236.0,0.0035105040563955794,0.006392635735181264,0.056
1249.0,0.003601040993444302,0.006296781748790789,0.056
1261.0,0.0036752699711997214,0.006209214600275481,0.056
1273.0,0.0037259990589582847,0.006123178107726763,0.056
1286.0,0.003795745291824935,0.006029971907465653,0.056
1298.0,0.0038848904451176717,0.005951472695279632,0.056
1311.0,0.003978548167333437,0.005875590256857373,0.056
1324.0,0.0040680698295424735,0.005799707818435114,0.056
1337.0,0.004142484113203237,0.005729652425902302,0.056
1350.0,0.00420257327082505,0.005663474652854331,0.056
1364.0,0.0042947092297829425,0.005592206281879593,0.056
1377.0,0.00439672967673298,0.005529472002514231,0.056
1391.0,0.004520908934342847,0.00546371997357765,0.056
1404.0,0.004641805723543492,0.0054026645181365395,0.056
